us,Red,IR,Ratio,Ambient,Vel,Accel,Notes
497616294,40,192,0.2083,1592,-0.2226,0.0084,
497805286,40,192,0.2083,1592,-0.2226,0.0084,
497869420,40,192,0.2083,1592,-0.2226,0.0084,
497931294,40,192,0.2083,1592,-0.2226,0.0084,
497993287,40,192,0.2083,1592,-0.2226,0.0084,
498056286,40,192,0.2083,1592,-0.2226,0.0084,
498245290,40,192,0.2083,1592,-0.2226,0.0084,
498367290,40,192,0.2083,1592,-0.2226,0.0084,
498432289,40,192,0.2083,1592,-0.2226,0.0084,
498494150,40,192,0.2083,1592,-0.2226,0.0084,
498556289,40,192,0.2083,1592,-0.2226,0.0084,
498617289,40,192,0.2083,1592,-0.2226,0.0084,
498679286,40,192,0.2083,1592,-0.2226,0.0084,
498805717,40,192,0.2083,1592,-0.2226,0.0084,
498931286,40,192,0.2083,1592,-0.2226,0.0084,
498993286,40,192,0.2083,1592,-0.2226,0.0084,
499118831,40,192,0.2083,1592,-0.2226,0.0084,
499180287,40,192,0.2083,1592,-0.2226,0.0084,
499431439,40,192,0.2083,1592,-0.2226,0.0084,
499617301,40,192,0.2083,1592,-0.2226,0.0084,
499931095,40,192,0.2083,1592,-0.2226,0.0084,
499992285,40,192,0.2083,1592,-0.2226,0.0084,
500055516,40,192,0.2083,1592,-0.2226,0.0084,
500117286,40,192,0.2083,1592,-0.2226,0.0084,
500243286,40,192,0.2083,1592,-0.2226,0.0084,
500366289,40,192,0.2083,1592,-0.2226,0.0084,
500490286,40,192,0.2083,1592,-0.2226,0.0084,
500554296,40,192,0.2083,1592,-0.2226,0.0084,
500616286,40,192,0.2083,1592,-0.2226,0.0084,
500678290,34,218,0.156,1714,-0.1245,-0.0042,
500989289,42,257,0.1634,1595,0.0184,-0.0139,
501053286,42,257,0.1634,1595,0.0184,-0.0139,
501115286,42,257,0.1634,1595,0.0184,-0.0139,
501180286,72,354,0.2034,1523,-0.1637,-0.023,
501241285,72,354,0.2034,1523,-0.1637,-0.023,
501365285,72,354,0.2034,1523,-0.1637,-0.023,
501490285,72,354,0.2034,1523,-0.1637,-0.023,
501616801,72,354,0.2034,1523,-0.1637,-0.023,
501931470,72,354,0.2034,1523,-0.1637,-0.023,
501993285,72,354,0.2034,1523,-0.1637,-0.023,
502056294,72,354,0.2034,1523,-0.1637,-0.023,
502180285,72,354,0.2034,1523,-0.1637,-0.023,
502305286,72,354,0.2034,1523,-0.1637,-0.023,
502431286,72,354,0.2034,1523,-0.1637,-0.023,
502552260,72,354,0.2034,1523,-0.1637,-0.023,
502613294,72,354,0.2034,1523,-0.1637,-0.023,
502930287,72,354,0.2034,1523,-0.1637,-0.023,
503054398,72,354,0.2034,1523,-0.1637,-0.023,
503116286,72,354,0.2034,1523,-0.1637,-0.023,
503240287,72,354,0.2034,1523,-0.1637,-0.023,
503553293,72,354,0.2034,1523,-0.1637,-0.023,
503616284,72,354,0.2034,1523,-0.1637,-0.023,
503678284,72,354,0.2034,1523,-0.1637,-0.023,
503990842,72,354,0.2034,1523,-0.1637,-0.023,
504053284,72,354,0.2034,1523,-0.1637,-0.023,
504115751,72,354,0.2034,1523,-0.1637,-0.023,
504242284,72,354,0.2034,1523,-0.1637,-0.023,
504365284,72,354,0.2034,1523,-0.1637,-0.023,
504427288,72,354,0.2034,1523,-0.1637,-0.023,
504490101,72,354,0.2034,1523,-0.1637,-0.023,
504553285,72,354,0.2034,1523,-0.1637,-0.023,
504615285,72,354,0.2034,1523,-0.1637,-0.023,
504677284,38,143,0.2657,1728,-0.129,-0.0084,
504805284,38,143,0.2657,1728,-0.129,-0.0084,
504865284,38,143,0.2657,1728,-0.129,-0.0084,
504989284,38,143,0.2657,1728,-0.129,-0.0084,
505051288,38,143,0.2657,1728,-0.129,-0.0084,
505115293,38,143,0.2657,1728,-0.129,-0.0084,
505176286,38,143,0.2657,1728,-0.129,-0.0084,
505240285,131,600,0.2183,1277,0.0057,0.0214,
505427284,131,600,0.2183,1277,0.0057,0.0214,
505488661,131,600,0.2183,1277,0.0057,0.0214,
505549292,131,600,0.2183,1277,0.0057,0.0214,
505610284,131,600,0.2183,1277,0.0057,0.0214,
505674566,131,600,0.2183,1277,0.0057,0.0214,
505799283,45,225,0.2,1564,0.0928,0.0353,
505987889,53,242,0.219,1628,0.0824,-1.7691,
506053284,53,242,0.219,1628,0.0824,-1.7691,
